c2 2
127.0.0.1:8025
127.0.0.1:8030
b8 reserve
b2 return
b2 reserve
b8 return
b1 return
b1 reserve
b1 return
b2 reserve
b3 reserve
b4 reserve
b5 return
b6 return
b6 reserve
b8 reserve
b9 reserve
b10 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
sleep 1
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
b1 return
b1 reserve
